CWE_ID,NAME,DESCRIPTION,LIKELIHOOD_OF_EXPLOIT
1004,Sensitive Cookie Without 'HttpOnly' Flag,"The software uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",Medium
1007,Insufficient Visual Distinction of Homoglyphs Presented to User,"The software displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.",Medium
102,Struts: Duplicate Validation Forms,"The application uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.", 
1021,Improper Restriction of Rendered UI Layers or Frames,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.", 
1022,Use of Web Link to Untrusted Target with window.opener Access,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.",Medium
1023,Incomplete Comparison with Missing Factors,"The software performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.", 
1024,Comparison of Incompatible Types,"The software performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.", 
1025,Comparison Using Wrong Factors,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.", 
103,Struts: Incomplete validate() Method Definition,"The application has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().", 
1037,Processor Optimization Removal or Modification of Security-critical Code,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",Low
1038,Insecure Automated Optimizations,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",Low
1039,Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.", 
104,Struts: Form Bean Does Not Extend Validation Class,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.", 
1041,Use of Redundant Code,"The software has multiple functions, methods, procedures, macros, etc. thatcontain the same code.", 
