CWE_ID,CAPEC_0,CAPEC_1,CAPEC_2,CAPEC_3,CAPEC_4,CAPEC_5,CAPEC_6,CAPEC_6X,CAPEC_7,CAPEC_8,CAPEC_9,CAPEC_10,CAPEC_11,CAPEC_12,CAPEC_13,CAPEC_14,CAPEC_15,CAPEC_16,CAPEC_17,CAPEC_18,CAPEC_19,CAPEC_20,CAPEC_21,CAPEC_22,CAPEC_23,CAPEC_24,CAPEC_25,CAPEC_26,CAPEC_27,CAPEC_28,CAPEC_29,CAPEC_30,CAPEC_31,CAPEC_32,CAPEC_33,CAPEC_34,CAPEC_35,CAPEC_36,CAPEC_37,CAPEC_38,CAPEC_39,CAPEC_40,CAPEC_41,CAPEC_42,CAPEC_43,CAPEC_44,CAPEC_45,CAPEC_46,CAPEC_47,CAPEC_48,CAPEC_49,CAPEC_50,CAPEC_51,CAPEC_52,CAPEC_53,CAPEC_54,CAPEC_55,CAPEC_56,CAPEC_57,CAPEC_58
1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,103,181,222,504,506,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,,,,,,,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
