Category,Vendor,Product,Random,Name,Manufacturer,Scheme,Assurance Level,Protection Profile(s),Certification Date,Archived Date,Certification Report URL,Security Target URL,Maintenance Date,Maintenance Title,Maintenance Report,Maintenance ST
Access Control Devices and Systems,,,,KSignAccess V4.1,"KSign Co., LTD.",KR,None,KECS-PP-0822-2017 SSO V1.0,3/30/2022,3/30/2027,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CR-22-11 Certification Report(KSignAccess V4.1).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/KSignAccess V4.1 Security Target V1.3.pdf,,,,
Access Control Devices and Systems,,,,VeroGuard HSM Digital ID for Open Networks v1.0,VeroGuard Systems Pty Ltd,AU,"EAL2+,ALC_FLR.1",,2/23/2022,2/23/2027,http://www.commoncriteriaportal.org:443/files/epfiles/EFC-T092-VeroGuard-V1.0_CR-V1.1.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/EFC-T092_VeroGuard HSM Digital ID_Security_Target.v1.20.pdf,,,,
Access Control Devices and Systems,,,,SafeIdentity v5.1,Hancom With Inc.,KR,None,KECS-PP-0822-2017 SSO V1.0,11/5/2021,11/5/2026,http://www.commoncriteriaportal.org:443/files/epfiles/2021-11-03_KECS-CR-21-63 Certification Report(SafeIdentity v5.1) V1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/SafeIdentity v5.1 Security Target(ST) v1.2.pdf,,,,
Access Control Devices and Systems,,,,Bandi SSO v7.0,Bandi S,KR,None,,9/8/2021,9/8/2026,http://www.commoncriteriaportal.org:443/files/epfiles/[KECS-CR-21-52] Certification Report(Bandi SSO v7.0) V1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Bandi_SSO_v7.0_ST_v006_eng.pdf,,,,
Access Control Devices and Systems,,,,DriveLock Agent 2019.2 (Device and  Application Control) SP 1,DriveLock SE,SE,"EAL3,ALC_FLR.3",,4/7/2021,4/7/2026,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report - DriveLock Agent 2019.2.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ST - DriveLock.pdf,,,,
Access Control Devices and Systems,,,,NetIQ Identity Manager 4.7,NetIQ Corporation,SE,"EAL3+,ALC_FLR.2",,6/15/2020,6/15/2025,http://www.commoncriteriaportal.org:443/files/epfiles/Certification Report - NetIQ® Identity Manager 4.7.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/ST - NetIQ Identity Manager 4.7.pdf,,,,
Access Control Devices and Systems,,,,Magic SSO V4.0,"Dreamsecurity Co., Ltd.",KR,None,KECS-PP-0822-2017 SSO V1.0,11/15/2019,11/15/2024,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-70 Magic SSO V4.0(eng) V1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/Magic_SSO_V4.0-ST-v1.4_EN.pdf,,,,
Access Control Devices and Systems,,,,NetIQ Access Manager 4.5,"NetIQ, Incorporated",NL,"EAL3+,ALC_FLR.1",,11/7/2019,11/7/2024,http://www.commoncriteriaportal.org:443/files/epfiles/[CR] CC-19-0006151-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[ST] NetIQ Access Manager EAL3 ST 2.0.pdf,,,,
Access Control Devices and Systems,,,,Illumio Adaptive Security Platform v18.2.2,Illumio,CA,None,PP_ESM_PM_V2.1,7/12/2019,7/12/2024,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-459 CR v1.0.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/383-4-459 Illumio ASP Security Target v1.3 .pdf,,,,
Access Control Devices and Systems,,,,openNAC Enterprise v1.2,Open Cloud Factory,ES,EAL2,,6/18/2019,6/18/2024,http://www.commoncriteriaportal.org:443/files/epfiles/2017-10-INF-2789.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2017-10-ST.pdf,,,,
