source ID,target ID
G0099,T1105
G0099,T1204.002
G0099,T1036.004
G0099,T1571
G0099,T1027
G0099,T1053.005
G0099,T1566.001
G0099,T1588.002
G0099,T1059.005
G0006,T1560.001
G0006,T1119
G0006,T1005
G0006,T1583.001
G0006,T1584.001
G0006,T1585.002
G0006,T1003.001
G0006,T1087.001
G0006,T1114.001
G0006,T1588.001
G0006,T1036.005
G0006,T1135
G0006,T1550.002
G0006,T1057
G0006,T1021.001
G0006,T1114.002
G0006,T1566.001
G0006,T1566.002
G0006,T1016
G0006,T1049
G0006,T1007
G0006,T1588.002
G0006,T1059.003
G0005,T1102.002
G0005,T1568.003
G0005,T1203
G0005,T1204.002
G0005,T1566.001
G0023,T1584.004
G0025,T1585
G0025,T1583.006
G0026,T1053.002
G0026,T1071.004
G0026,T1133
G0026,T1070.004
G0026,T1083
G0026,T1105
G0026,T1027
G0026,T1547.001
G0026,T1082
G0026,T1078
G0026,T1071.001
G0026,T1059.003
G0073,T1059
G0073,T1574.002
G0073,T1140
G0073,T1189
G0073,T1564.003
G0073,T1204.002
G0073,T1112
G0073,T1027
G0073,T1059.001
G0073,T1547.001
G0073,T1218.010
G0073,T1218.011
G0073,T1566.001
G0073,T1132.001
G0073,T1082
G0073,T1016
G0073,T1033
G0073,T1588.002
G0073,T1071.001
G0073,T1543.003
G0007,T1550.001
G0007,T1560
G0007,T1560.001
G0007,T1119
G0007,T1102.002
G0007,T1542.003
G0007,T1110
G0007,T1070.001
G0007,T1078.004
G0007,T1092
G0007,T1546.015
G0007,T1589.001
G0007,T1030
G0007,T1213
G0007,T1005
G0007,T1039
G0007,T1025
G0007,T1140
G0007,T1583.001
G0007,T1559.002
G0007,T1098.002
G0007,T1048.002
G0007,T1567
G0007,T1190
G0007,T1203
G0007,T1211
G0007,T1068
G0007,T1210
G0007,T1090.002
G0007,T1133
G0007,T1070.004
G0007,T1083
G0007,T1564.001
G0007,T1564.003
G0007,T1105
G0007,T1001.001
G0007,T1056.001
G0007,T1003.001
G0007,T1074.001
G0007,T1037.001
G0007,T1071.003
G0007,T1204.002
G0007,T1204.001
G0007,T1036
G0007,T1036.005
G0007,T1090.003
G0007,T1003.003
G0007,T1498
G0007,T1040
G0007,T1003
G0007,T1027
G0007,T1137.002
G0007,T1550.002
G0007,T1110.001
G0007,T1110.003
G0007,T1120
G0007,T1598
G0007,T1059.001
G0007,T1057
G0007,T1547.001
G0007,T1074.002
G0007,T1114.002
G0007,T1091
G0007,T1014
G0007,T1218.011
G0007,T1021.002
G0007,T1113
G0007,T1213.002
G0007,T1566.001
G0007,T1566.002
G0007,T1528
G0007,T1573.001
G0007,T1221
G0007,T1070.006
G0007,T1134.001
G0007,T1588.002
G0007,T1199
G0007,T1078
G0007,T1595.002
G0007,T1071.001
