"GROUP_ID","SECTOR_ID"
"G0004","CI08"
"G0004","CI11"
"G0005","CI11"
"G0005","CI13"
"G0007","CI11"
"G0009","CI03"
"G0009","CI06"
"G0009","CI09"
"G0009","CI11"
"G0009","CI12"
"G0010","CI11"
"G0010","CI12"
"G0012","CI15"
"G0016","CI11"
"G0016","CI13"
"G0017","CI13"
"G0018","CI09"
"G0019","CI11"
"G0020","CI13"
"G0022","CI11"
"G0025","CI06"
"G0025","CI11"
"G0025","CI13"
"G0026","CI04"
"G0026","CI11"
"G0026","CI12"
"G0026","CI13"
"G0027","CI04"
"G0027","CI06"
"G0027","CI11"
"G0027","CI15"
"G0028","CI13"
"G0030","CI11"
"G0033","CI13"
"G0034","CI08"
"G0035","CI06"
"G0035","CI08"
"G0035","CI15"
"G0036","CI09"
"G0037","CI13"
"G0040","CI11"
"G0045","CI06"
"G0045","CI08"
"G0045","CI09"
"G0045","CI11"
"G0045","CI12"
"G0046","CI13"
"G0047","CI11"
"G0048","CI09"
"G0049","CI01"
"G0049","CI03"
"G0049","CI08"
"G0049","CI09"
"G0049","CI11"
"G0050","CI11"
"G0050","CI13"
"G0051","CI13"
"G0053","CI13"
"G0053","CI15"
"G0054","CI11"
"G0059","CI11"
"G0059","CI12"
"G0060","CI01"
"G0060","CI04"
"G0060","CI11"
"G0061","CI13"
"G0063","CI11"
"G0064","CI13"
"G0065","CI04"
"G0065","CI06"
"G0065","CI11"
"G0065","CI12"
"G0065","CI16"
"G0066","CI04"
"G0066","CI06"
"G0066","CI13"
"G0068","CI11"
"G0069","CI03"
"G0069","CI08"
"G0069","CI11"
"G0069","CI13"
"G0071","CI12"
"G0072","CI12"
"G0073","CI03"
"G0073","CI04"
"G0073","CI06"
"G0073","CI08"
"G0073","CI09"
"G0073","CI13"
"G0074","CI11"
"G0075","CI11"
"G0076","CI03"
"G0076","CI06"
"G0077","CI11"
"G0078","CI11"
"G0079","CI11"
"G0080","CI09"
"G0081","CI11"
"G0081","CI12"
"G0081","CI13"
"G0081","CI15"
"G0082","CI09"
"G0083","CI04"
"G0083","CI13"
"G0084","CI06"
"G0084","CI11"
"G0085","CI09"
"G0085","CI12"
"G0087","CI03"
"G0087","CI15"
"G0089","CI11"
"G0091","CI09"
"G0093","CI03"
"G0093","CI13"
"G0094","CI08"
"G0094","CI11"
"G0095","CI03"
"G0095","CI08"
"G0095","CI11"
"G0096","CI12"
"G0096","CI13"
"G0099","CI04"
"G0099","CI08"
"G0099","CI09"
"G0100","CI11"
"G0102","CI12"
"G0102","CI13"
"G0103","CI04"
"G0103","CI11"
"G0104","CI06"
"G0104","CI08"
"G0104","CI09"
"G0104","CI14"
"G0105","CI09"
"G0106","CI09"
"G0107","CI12"
"G0112","CI11"
"G0114","CI13"
"G0114","CI15"
"G0116","CI08"
"G0116","CI11"
"G0116","CI12"
"G0116","CI13"
"G0117","CI04"
"G0117","CI06"
"G0117","CI08"
"G0117","CI11"
"G0117","CI12"
"G0117","CI13"
"G0121","CI11"
"G0122","CI11"
"G0125","CI11"
"G0125","CI12"
"G0126","CI11"
"G0127","CI13"
"G0128","CI11"
"G0129","CI11"
"G0130","CI06"
"G0130","CI13"
"G0131","CI08"
"G0131","CI09"
"G0131","CI11"
"G0131","CI12"
"G0131","CI13"
"G0132","CI09"
"G0133","CI11"
"G0133","CI13"
"G0134","CI06"
"G0135","CI03"
"G0135","CI11"
"G0135","CI13"
"G0136","CI11"
"G0138","CI09"
"G0138","CI11"
"G0138","CI13"
"G0139","CI09"
"G0139","CI13"
