"TECHNIQUE_ID","TACTIC_ID","IS_SUB_TECHNIQUE"
"T1003","TA0006","FALSE"
"T1003.001","TA0006","TRUE"
"T1003.002","TA0006","TRUE"
"T1003.003","TA0006","TRUE"
"T1003.004","TA0006","TRUE"
"T1003.005","TA0006","TRUE"
"T1003.006","TA0006","TRUE"
"T1003.007","TA0006","TRUE"
"T1003.008","TA0006","TRUE"
"T1005","TA0009","FALSE"
"T1006","TA0005","FALSE"
"T1007","TA0007","FALSE"
"T1010","TA0007","FALSE"
"T1011","TA0010","FALSE"
"T1011.001","TA0010","TRUE"
"T1012","TA0007","FALSE"
"T1014","TA0005","FALSE"
"T1016","TA0007","FALSE"
"T1016.001","TA0007","TRUE"
"T1018","TA0007","FALSE"
"T1020","TA0010","FALSE"
"T1020.001","TA0010","TRUE"
"T1021","TA0008","FALSE"
"T1021.001","TA0008","TRUE"
"T1021.002","TA0008","TRUE"
"T1021.003","TA0008","TRUE"
"T1021.004","TA0008","TRUE"
"T1021.005","TA0008","TRUE"
"T1021.006","TA0008","TRUE"
"T1025","TA0009","FALSE"
"T1027","TA0005","FALSE"
"T1027.001","TA0005","TRUE"
"T1027.002","TA0005","TRUE"
"T1027.003","TA0005","TRUE"
"T1027.004","TA0005","TRUE"
"T1027.005","TA0005","TRUE"
"T1027.006","TA0005","TRUE"
"T1029","TA0010","FALSE"
"T1030","TA0010","FALSE"
"T1033","TA0007","FALSE"
"T1036","TA0005","FALSE"
"T1036.001","TA0005","TRUE"
"T1036.002","TA0005","TRUE"
"T1036.003","TA0005","TRUE"
"T1036.004","TA0005","TRUE"
"T1036.005","TA0005","TRUE"
"T1036.006","TA0005","TRUE"
"T1036.007","TA0005","TRUE"
"T1037","TA0003","FALSE"
"T1037","TA0004","FALSE"
"T1037.001","TA0003","TRUE"
"T1037.001","TA0004","TRUE"
"T1037.002","TA0003","TRUE"
"T1037.002","TA0004","TRUE"
"T1037.003","TA0003","TRUE"
"T1037.003","TA0004","TRUE"
"T1037.004","TA0004","TRUE"
"T1037.004","TA0003","TRUE"
"T1037.005","TA0003","TRUE"
"T1037.005","TA0004","TRUE"
"T1039","TA0009","FALSE"
"T1040","TA0006","FALSE"
"T1040","TA0007","FALSE"
"T1041","TA0010","FALSE"
"T1046","TA0007","FALSE"
"T1047","TA0002","FALSE"
"T1048","TA0010","FALSE"
"T1048.001","TA0010","TRUE"
"T1048.002","TA0010","TRUE"
"T1048.003","TA0010","TRUE"
"T1049","TA0007","FALSE"
"T1052","TA0010","FALSE"
"T1052.001","TA0010","TRUE"
"T1053","TA0004","FALSE"
"T1053","TA0003","FALSE"
"T1053","TA0002","FALSE"
"T1053.001","TA0004","TRUE"
"T1053.001","TA0003","TRUE"
"T1053.001","TA0002","TRUE"
"T1053.002","TA0003","TRUE"
"T1053.002","TA0004","TRUE"
"T1053.002","TA0002","TRUE"
"T1053.003","TA0002","TRUE"
"T1053.003","TA0004","TRUE"
"T1053.003","TA0003","TRUE"
"T1053.005","TA0003","TRUE"
"T1053.005","TA0004","TRUE"
"T1053.005","TA0002","TRUE"
"T1053.006","TA0004","TRUE"
"T1053.006","TA0003","TRUE"
"T1053.006","TA0002","TRUE"
"T1053.007","TA0003","TRUE"
"T1053.007","TA0004","TRUE"
"T1053.007","TA0002","TRUE"
"T1055","TA0004","FALSE"
"T1055","TA0005","FALSE"
"T1055.001","TA0004","TRUE"
"T1055.001","TA0005","TRUE"
"T1055.002","TA0005","TRUE"
"T1055.002","TA0004","TRUE"
"T1055.003","TA0005","TRUE"
"T1055.003","TA0004","TRUE"
"T1055.004","TA0004","TRUE"
"T1055.004","TA0005","TRUE"
"T1055.005","TA0005","TRUE"
"T1055.005","TA0004","TRUE"
"T1055.008","TA0004","TRUE"
"T1055.008","TA0005","TRUE"
"T1055.009","TA0004","TRUE"
"T1055.009","TA0005","TRUE"
"T1055.011","TA0005","TRUE"
"T1055.011","TA0004","TRUE"
"T1055.012","TA0005","TRUE"
"T1055.012","TA0004","TRUE"
"T1055.013","TA0004","TRUE"
"T1055.013","TA0005","TRUE"
"T1055.014","TA0005","TRUE"
"T1055.014","TA0004","TRUE"
"T1056","TA0009","FALSE"
"T1056","TA0006","FALSE"
"T1056.001","TA0009","TRUE"
"T1056.001","TA0006","TRUE"
"T1056.002","TA0009","TRUE"
"T1056.002","TA0006","TRUE"
"T1056.003","TA0006","TRUE"
"T1056.003","TA0009","TRUE"
"T1056.004","TA0006","TRUE"
"T1056.004","TA0009","TRUE"
"T1057","TA0007","FALSE"
"T1059","TA0002","FALSE"
"T1059.001","TA0002","TRUE"
"T1059.002","TA0002","TRUE"
"T1059.003","TA0002","TRUE"
"T1059.004","TA0002","TRUE"
"T1059.005","TA0002","TRUE"
"T1059.006","TA0002","TRUE"
"T1059.007","TA0002","TRUE"
"T1059.008","TA0002","TRUE"
"T1068","TA0004","FALSE"
"T1069","TA0007","FALSE"
"T1069.001","TA0007","TRUE"
"T1069.002","TA0007","TRUE"
"T1069.003","TA0007","TRUE"
"T1070","TA0005","FALSE"
"T1070.001","TA0005","TRUE"
"T1070.002","TA0005","TRUE"
"T1070.003","TA0005","TRUE"
"T1070.004","TA0005","TRUE"
"T1070.005","TA0005","TRUE"
"T1070.006","TA0005","TRUE"
"T1072","TA0002","FALSE"
"T1072","TA0008","FALSE"
"T1074","TA0009","FALSE"
"T1074.001","TA0009","TRUE"
"T1074.002","TA0009","TRUE"
"T1078","TA0003","FALSE"
"T1078","TA0001","FALSE"
"T1078","TA0005","FALSE"
"T1078","TA0004","FALSE"
"T1078.001","TA0003","TRUE"
"T1078.001","TA0001","TRUE"
"T1078.001","TA0005","TRUE"
"T1078.001","TA0004","TRUE"
"T1078.002","TA0003","TRUE"
"T1078.002","TA0001","TRUE"
"T1078.002","TA0005","TRUE"
"T1078.002","TA0004","TRUE"
"T1078.003","TA0005","TRUE"
"T1078.003","TA0001","TRUE"
"T1078.003","TA0003","TRUE"
"T1078.003","TA0004","TRUE"
"T1078.004","TA0005","TRUE"
"T1078.004","TA0001","TRUE"
"T1078.004","TA0003","TRUE"
"T1078.004","TA0004","TRUE"
"T1080","TA0008","FALSE"
"T1082","TA0007","FALSE"
"T1083","TA0007","FALSE"
"T1087","TA0007","FALSE"
"T1087.001","TA0007","TRUE"
"T1087.002","TA0007","TRUE"
"T1087.003","TA0007","TRUE"
"T1087.004","TA0007","TRUE"
"T1091","TA0001","FALSE"
"T1091","TA0008","FALSE"
"T1098","TA0003","FALSE"
"T1098.001","TA0003","TRUE"
"T1098.002","TA0003","TRUE"
"T1098.003","TA0003","TRUE"
"T1098.004","TA0003","TRUE"
"T1106","TA0002","FALSE"
"T1110","TA0006","FALSE"
"T1110.001","TA0006","TRUE"
