"CAPEC_ID","TECHNIQUE_ID","TECHNIQUE_NAME"
"CAPEC-490","T1498.002","Network Denial of ServiceReflection Amplification"
"CAPEC-163","T1534","Internal Spearfishing"
"CAPEC-163","T1566.001","PhishingSpearfishing Attachment"
"CAPEC-163","T1566.002","PhishingSpearfishing Link"
"CAPEC-163","T1566.003","PhishingSpearfishing via Service"
"CAPEC-480","T1611","Escape to Host"
"CAPEC-576","T1069","Permission Groups Discovery"
"CAPEC-558","T1546.008","Event Triggered ExecutionAccessibility Features"
"CAPEC-562","T1080","Taint shared content"
"CAPEC-574","T1007","System Service Discovery"
"CAPEC-19","T1546.004","Event Triggered Execution.bash_profile and .bashrc"
"CAPEC-100","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-185","T1105","Ingress Tool Transfer"
"CAPEC-479","T1553.004","Subvert Trust ControlsInstall Root Certificate"
"CAPEC-126","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-637","T1115","Clipboard Data"
"CAPEC-578","T1562.001","Impair DefensesDisable or Modify Tools"
"CAPEC-646","T1120","Peripheral Device Discovery"
"CAPEC-93","T1070","Indicator Removal on Host"
"CAPEC-177","T1036","Masquerading"
"CAPEC-581","T1518.001","Software DiscoverySecurity Software Discovery"
"CAPEC-438","T1195","Supply Chain Compromise"
"CAPEC-61","T1110.004","Brute ForceCredential Stuffing"
"CAPEC-1","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-560","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-560","T1078.002","Valid AccountsDomain Accounts"
"CAPEC-560","T1078.003","Valid AccountsLocal Accounts"
"CAPEC-136","T1547.009","Boot or Logon Autostart ExecutionShortcut Modification"
"CAPEC-132","T1547.009","Boot or Logon Autostart ExecutionShortcut Modification"
"CAPEC-107","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-660","T1055","Process Injection"
"CAPEC-565","T1110.003","Brute ForcePassword Spraying"
"CAPEC-295","T1124","System Time Discovery"
"CAPEC-593","T1550.001","Use Alternate Authentication MaterialApplication Access Token"
"CAPEC-593","T1563","Remote Service Session Hijacking"
"CAPEC-642","T1574.005","Hijack Execution FlowExecutable Installer File Permissions Weakness"
"CAPEC-642","T1574.010","Hijack Execution FlowService File Permissions Weakness"
"CAPEC-644","T1550.002","Use Alternate Authentication MaterialPass The Hash"
"CAPEC-300","T1046","Network Service Scanning"
"CAPEC-650","T1505.003","Server Software ComponentWeb Shell"
"CAPEC-21","T1134","Access Token Manipulation"
"CAPEC-63","T1110.004","Brute ForceCredential Stuffing"
"CAPEC-256","T1055","Process Injection"
"CAPEC-62","T1110.004","Brute ForceCredential Stuffing"
"CAPEC-17","T1574.010","Hijack Execution FlowServices File Permissions Weakness"
"CAPEC-159","T1574.008","Hijack Execution FlowPath Interception by Search Order Hijacking"
"CAPEC-158","T1040","Network Sniffing"
"CAPEC-569","T1056","Input Capture"
"CAPEC-564","T1037","Boot or Logon Initialization Scripts"
"CAPEC-564","T1543.001","Create or Modify System ProcessLaunch Agent"
"CAPEC-564","T1547","Boot or Logon Autostart Execution"
"CAPEC-647","T1005","Data from Local System"
"CAPEC-647","T1552.002","Unsecured CredentialsCredentials in Registry"
"CAPEC-571","T1562.006","Impair DefensesIndicator Blocking"
"CAPEC-55","T1110.002","Brute ForcePassword Cracking"
"CAPEC-532","T1542.001","Pre-OS BootSystem Firmware"
"CAPEC-66","T1017","Application Deployment Software"
"CAPEC-662","T1185","Man in the Browser"
"CAPEC-460","T1200","Hardware Additions"
"CAPEC-141","T1547.009","Boot or Logon Autostart ExecutionShortcut Modification"
"CAPEC-168","T1566.003","PhishingSpearfishing via Service"
"CAPEC-634","T1123","Audio Capture"
"CAPEC-634","T1125","Video Capture"
"CAPEC-487","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-492","T1498.002","Network Denial of ServiceReflection Amplification"
"CAPEC-572","T1027.001","Obfuscated Files or InformationBinary Padding"
"CAPEC-125","T1498.001","Network Denial of ServiceDirect Network Flood"
"CAPEC-240","T1548","Abuse Elevation Control Mechanism"
"CAPEC-176","T1574.010","Hijack Execution FlowServices File Permissions Weakness"
"CAPEC-206","T1553.002","Subvert Trust ControlsCode Signing"
"CAPEC-251","T1055","Process Injection"
"CAPEC-227","T1499","Endpoint Denial of Service"
"CAPEC-561","T1021.002","Remote ServicesSMB/Windows Admin Shares"
"CAPEC-38","T1574.007","Hijack Execution FlowPath Interception by PATH Environment Variable"
"CAPEC-552","T1014","Rootkit"
"CAPEC-552","T1542.003","Pre-OS BootBootkit"
"CAPEC-552","T1547.006","Boot or Logon Autostart ExecutionKernel Modules and Extensions"
"CAPEC-112","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-575","T1087","Account Discovery"
"CAPEC-270","T1547.001","Boot or Logon Autostart ExecutionRegistry Run Keys – Start Folder"
"CAPEC-273","T1547.001","Boot or Logon Autostart ExecutionRegistry Run Keys – Start Folder"
"CAPEC-203","T1112","Modify Registry"
"CAPEC-92","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-309","T1016","System Network Configuration Discovery"
"CAPEC-34","T1082","System Information Discovery"
"CAPEC-101","T1574.010","Hijack Execution Flow ServicesFile Permissions Weakness"
"CAPEC-60","T1134.001","Access Token ManipulationToken Impersonation/Theft"
"CAPEC-60","T1134.002","Access Token ManipulationCreate Process with Token"
"CAPEC-60","T1550.004","Use Alternate Authentication MaterialWeb Session Cookie"
"CAPEC-248","T1548","Abuse Elevation Control Mechanism"
"CAPEC-194","T1552.001","Unsecured CredentialsCredentials in files"
"CAPEC-221","T1134","Access Token Manipulation"
"CAPEC-439","T1195","Supply Chain Compromise"
"CAPEC-94","T1557","Man-in-the-Middle"
"CAPEC-509","T1558.003","Steal or Forge Kerberos TicketsKerberoasting"
"CAPEC-250","T1548","Abuse Elevation Control Mechanism"
"CAPEC-83","T1078.001","Valid AccountsDefault Accounts"
"CAPEC-482","T1498.001","Network Denial of ServiceDirect Network Flood"
