SOFTWARE_ID,CPE_ID,SW_PART,SW_VENDOR,SW_PRODUCT,SW_VERSION,ORG_SOFTWARE_NAME,ORG_SOFTWARE_VENDOR
SOFT100,cpe:2.3:h:cisco:ncs_1001:-:*:*:*:*:*:*:* ,h,cisco,ncs_1001,,Cisco Network Convergence System (NCS) 1000 Series,"Cisco Systems, Inc."
SOFT101,cpe:2.3:a:checkpoint:security_gateway:r71.00:*:*:*:*:*:*:* ,a,checkpoint,security_gateway,,Check Point Software Technologies Ltd. Security Gateway and Maestro Hyperscale Appliances R81.00,Check Point Software Technologies Ltd.
SOFT102,cpe:2.3:h:cisco:cloud_services_router_1000v:-:*:*:*:*:*:*:*,h,cisco,cloud_services_router_1000v,,"Cisco Aggregation Services Router 1000 Series (ASR1K), Cisco Cloud Services Router 1000V (CSR1000V), Cisco Integrated Services Router 1100 Series (ISR1100), Cisco Integrated Services Router 4200 Series (ISR4K) running IOS-XE 17.3","Cisco Systems, Inc."
SOFT103,cpe:2.3:h:paloaltonetworks:m-500:-:*:*:*:*:*:*:*,h,paloaltonetworks,m-500,,"Palo Alto Networks M-100, M-200, M-500, and M-600 Hardware, and Virtual Appliances all running Panorama 9.0",Palo Alto Networks
SOFT104,cpe:2.3:h:cisco:esr6300:-:*:*:*:*:*:*:*,h,cisco,esr6300,,Cisco Embedded Services Router (ESR) 6300,"Cisco Systems, Inc."
SOFT105,cpe:2.3:a:samsung:knox:1.0:*:*:*:*:*:*:*,a,samsung,knox,,Samsung Knox File Encryption 1.2,"Samsung Electronics Co., Ltd."
SOFT106,cpe:2.3:a:vmware:workspace_one:2.5.1:*:*:*:*:iphone_os:*:* ,a,vmware,workspace_one,2.5.1,VMware Workspace ONE Boxer Email Client Version 21.05,VMware
SOFT107,cpe:2.3:a:gigamon:gigavue:5.4:*:*:*:*:*:*:* ,a,gigamon,gigavue,,Gigamon GigaVUE Version 5.9.00,Gigamon LLC
SOFT108,cpe:2.3:a:sonicwall:global_vpn_client:-:*:*:*:*:*:*:*,a,sonicwall,global_vpn_client,,SonicWall SonicOS Enhanced V6.5.4 with VPN and IPS on TZ and SOHO Appliances,"SonicWALL, Inc"
SOFT109,cpe:2.3:a:a10networks:application_delivery_controller:-:*:*:*:*:*:*:*,a,citrix,application_delivery_controller,,Citrix ADC (MPX FIPS and VPX FIPS) Version 12.1,"Citrix Systems, Inc."
SOFT110,cpe:2.3:a:oneidentity:cloud_access_manager:-:*:*:*:*:*:*:* ,a,oneidentity,cloud_access_manager,,One Identity Manager v8.1,One Identity LLC
SOFT111,cpe:2.3:a:sonicwall:secure_mobile_access:-:*:*:*:*:*:*:*,a,sonicwall,secure_mobile_access,,SonicWall Secure Mobile Access (SMA) v12.4,"SonicWALL, Inc"
SOFT112,cpe:2.3:a:vmware:carbon_black_app_control:8.0:*:*:*:*:*:*:* ,a,vmware,carbon_black_app_control,,VMware Carbon Black App Control v8.8.2,VMware
SOFT113,cpe:2.3:h:arubanetworks:aruba_2930f:-:*:*:*:*:*:*:*,h,arubanetworks,aruba_2930f,,"Aruba, a Hewlett Packard Enterprise Company 2930F, 2930M, 3810M, and 5400R Switch Series running ArubaOS version 16.08","Aruba, a Hewlett Packard Enterprise Company"
SOFT114,cpe:2.3:a:tenable:securitycenter:4.6:*:*:*:*:*:*:* ,a,tenable,securitycenter,,Tenable.sc 5.15.0,"Tenable, Inc."
SOFT115,cpe:2.3:a:samsung:display_solutions:3.01:*:*:*:*:android:*:* ,a,samsung,display_solutions,,Samsung SDS EMM v2.2.5,"Samsung SDS Co., Ltd."
