"CWE_ID","CVE_ID"
"CWE-269","CVE-2021-0645"
"CWE-20","CVE-2021-0646"
"CWE-287","CVE-2021-0649"
"CWE-125","CVE-2021-0650"
"CWE-20","CVE-2021-0651"
"CWE-119","CVE-2021-0652"
"CWE-281","CVE-2021-0653"
"CWE-276","CVE-2021-0654"
"CWE-269","CVE-2021-0655"
"CWE-416","CVE-2021-0656"
"CWE-787","CVE-2021-0657"
"CWE-787","CVE-2021-0658"
"CWE-125","CVE-2021-0659"
"CWE-125","CVE-2021-0660"
"CWE-787","CVE-2021-0661"
"CWE-787","CVE-2021-0662"
"CWE-787","CVE-2021-0663"
"CWE-416","CVE-2021-0664"
"CWE-125","CVE-2021-0665"
"CWE-125","CVE-2021-0666"
"CWE-416","CVE-2021-0667"
"CWE-755","CVE-2021-0668"
"CWE-416","CVE-2021-0669"
"CWE-416","CVE-2021-0670"
"CWE-787","CVE-2021-0671"
"CWE-276","CVE-2021-0672"
"CWE-20","CVE-2021-0673"
"CWE-20","CVE-2021-0674"
"CWE-787","CVE-2021-0675"
"CWE-200","CVE-2021-0676"
"CWE-190","CVE-2021-0677"
"CWE-119","CVE-2021-0678"
"CWE-755","CVE-2021-0679"
"CWE-863","CVE-2021-0680"
"CWE-863","CVE-2021-0681"
"CWE-863","CVE-2021-0682"
"NVD-CWE-Other","CVE-2021-0683"
"CWE-416","CVE-2021-0684"
"CWE-502","CVE-2021-0685"
"CWE-863","CVE-2021-0686"
"CWE-20","CVE-2021-0687"
"CWE-362","CVE-2021-0688"
"CWE-125","CVE-2021-0689"
"CWE-787","CVE-2021-0690"
"CWE-269","CVE-2021-0691"
"CWE-269","CVE-2021-0692"
"NVD-CWE-noinfo","CVE-2021-0693"
"CWE-416","CVE-2021-0695"
"NVD-CWE-noinfo","CVE-2021-0702"
"CWE-416","CVE-2021-0703"
"CWE-281","CVE-2021-0704"
"CWE-269","CVE-2021-0705"
"CWE-276","CVE-2021-0706"
"CWE-610","CVE-2021-0708"
"CWE-269","CVE-2021-0769"
"CWE-269","CVE-2021-0799"
"CWE-787","CVE-2021-0869"
"CWE-362","CVE-2021-0870"
"NVD-CWE-noinfo","CVE-2021-0889"
"CWE-416","CVE-2021-0893"
"CWE-787","CVE-2021-0894"
"CWE-119","CVE-2021-0895"
"CWE-119","CVE-2021-0896"
"CWE-787","CVE-2021-0897"
"CWE-367","CVE-2021-0897"
"CWE-416","CVE-2021-0898"
"CWE-416","CVE-2021-0899"
"CWE-20","CVE-2021-0900"
"CWE-190","CVE-2021-0901"
"CWE-20","CVE-2021-0902"
"CWE-119","CVE-2021-0903"
"CWE-276","CVE-2021-0904"
"CWE-787","CVE-2021-0918"
"CWE-190","CVE-2021-0919"
"CWE-362","CVE-2021-0920"
"CWE-416","CVE-2021-0920"
"CWE-20","CVE-2021-0921"
