"ORG_ID","SOFTWARE_ID","ORG_SOFTWARE_NAME"
"WLU","SOFT01","After Effects"
"WLU","SOFT02","Illustrator"
"WLU","SOFT03","Photoshop"
"WLU","SOFT04","Premiere"
"WLU","SOFT05","Audacity"
"WLU","SOFT06","Autodesk Inventor"
"WLU","SOFT07","ArcGIS"
"WLU","SOFT08","Canvas"
"WLU","SOFT09","Skype"
"WLU","SOFT10","Zoom"
"WLU",,"Cinema 4D"
"WLU",,"Digication"
"WLU",,"Final Cut Pro"
"WLU",,"FlipGrid"
"WLU",,"iMovie"
"WLU","SOFT11","Linkedin Learning"
"WLU",,"MeshLab"
"WLU",,"Meta Shape"
"WLU","SOFT12","Microsoft Forms"
"WLU",,"Wordpress"
"WLU",,"Yuja"
"WLU",,"Poll Everywhere"
"REGENT","SOFT13","Adobe Acrobat Reader Dc"
"REGENT","SOFT14","Adobe Acrobat Pro Dc"
"REGENT","SOFT15","Adobe Creative Cloud"
"REGENT","SOFT15","Adobe Spark"
"REGENT","SOFT16","Applicationxtender"
"REGENT","SOFT62","Autodesk Maya"
"REGENT","SOFT18","Citrix"
"REGENT",,"Final Draft"
"REGENT","SOFT19","Google Chrome"
"REGENT",,"Google File Stream"
"REGENT","SOFT20","Grammarly"
"REGENT","SOFT21","IBM SPSS"
"REGENT","SOFT22","Junos Pulse (Vpn)"
"REGENT","SOFT23","Microsoft Office"
"REGENT","SOFT24","Microsoft Project"
"REGENT","SOFT25","Microsoft Teams"
"REGENT","SOFT26","Microsoft Visio"
"REGENT","SOFT27","Minitab"
"REGENT",,"Movie Magic"
"REGENT","SOFT28","Mozilla Firefox"
"REGENT",,"Panopto"
"REGENT","SOFT29","Power BI Pro"
"REGENT",,"Respondus"
"REGENT",,"Respondus Lockdown Browser"
"REGENT","SOFT30","Snagit"
"REGENT","SOFT31","Techsmith Camtasia"
"REGENT",,"Toon Boom"
"REGENT","SOFT32","VLC Media Player"
"REGENT",,"Wrike"
"REGENT","SOFT10","Zoom"
"ODU","SOFT33","7-Zip"
"ODU","SOFT34","AGI/STK11"
"ODU","SOFT14","Adobe Acrobat Professional"
"ODU","SOFT01","Adobe After Effects CC"
"ODU","SOFT35","Adobe Animate"
"ODU","SOFT15","Adobe Creative Cloud"
"ODU","SOFT36","Adobe Dreamweaver CC"
"ODU","SOFT02","Adobe Illustrator CC"
"ODU","SOFT37","Adobe InDesign CC"
"ODU","SOFT38","Adobe Lightroom CC"
"ODU","SOFT03","Adobe Photoshop CC"
"ODU","SOFT04","Adobe Premiere Pro CC"
"ODU","SOFT39","Adobe Reader"
"ODU","SOFT07","ArcGIS"
"ODU","SOFT40","Arena"
"ODU","SOFT05","Audacity"
"ODU","SOFT62","Autodesk AutoCAD"
"ODU","SOFT06","Autodesk Inventor"
"ODU","SOFT41","Crestron AirMedia"
"ODU","SOFT42","ERDAS Imagine"
"ODU",,"EndNote"
"ODU","SOFT43","FastX"
"ODU","SOFT44","FileZilla"
"ODU",,"Geometers Sketchpad"
"ODU","SOFT45","GlobalProtect VPN Client"
"ODU","SOFT46","Google Calendar"
"ODU","SOFT19","Google Chrome"
"ODU","SOFT47","Google Drive"
"ODU",,"Google Hangouts"
"ODU","SOFT48","Java"
"ODU","SOFT49","LabView"
"ODU",,"LiveSafe"
"ODU","SOFT50","MATLAB"
"ODU","SOFT51","MSC Patran/Nastran"
"ODU",,"MathCAD"
"ODU","SOFT23","Microsoft Office"
"ODU","SOFT24","Microsoft Project"
"ODU","SOFT52","Microsoft SQL Server Standard"
"ODU","SOFT53","Microsoft SharePoint"
"ODU","SOFT54","Microsoft Silverlight"
"ODU","SOFT26","Microsoft Visio"
"ODU","SOFT55","Microsoft Windows Server Standard"
"ODU","SOFT27","Minitab"
"ODU","SOFT28","Mozilla Firefox"
"ODU","SOFT56","NI Multisim"
"ODU",,"NVivo"
"ODU",,"Pearson POM/QM"
"ODU",,"RISA"
"ODU","SOFT57","Remote Desktop"
"ODU",,"Respondus"
"ODU",,"Respondus Lockdown Browser"
"ODU","SOFT58","SAS Annual License 9.4 M6"
"ODU","SOFT21","SPSS Statistics (Teaching and Research)"
"ODU",,"SSI HLM 7"
"ODU",,"Systat"
"ODU",,"Systat SigmaPlot"
"ODU",,"TurningPoint Student Response System"
"ODU","SOFT32","VLC Media Player"
"ODU",,"WebDrive"
"ODU","SOFT59","WebXtender"
"ODU",,"WinAuth"
"ODU","SOFT60","WinSCP"
"ODU","SOFT61","Windows 10"
"ODU",,"Wolfram Mathematica"
"ODU",,"X-Win32"
"ODU","SOFT10","Zoom"
"VT","SOFT15","Adobe Creative Cloud"
"VT","SOFT62","Autodesk"
"VT","SOFT63","Duo D-100 Token"
"VT","SOFT07","ESRI ArcGIS Desktop Education Edition"
"VT",,"EquatIO"
"VT",,"GRAHL PDF Annotator"
"VT",,"Granta CES Edupack"
"VT","SOFT50","MathWorks MATLAB"
"VT","SOFT27","Minitab"
"VT","SOFT49","National Instruments LabVIEW"
"VT",,"Qualtrics (web-base)"
"VT",,"QuestionPro (web-based)"
"VT",,"Read&Write"
"VT",,"Rhino"
"VT","SOFT58","SAS"
"VT","SOFT58","SAS JMP Pro"
"VT",,"SimaPro"
"VT","SOFT65","SolidWorks"
"VT","SOFT21","SPSS"
"VT",,"Windows Virtualization Add-on License"
"VT",,"Wolfram Mathematica"
"UVA",,"Adobe Fonts"
"UVA","SOFT39","Adobe Reader"
"UVA","SOFT66","Alertus  "
"UVA",,"ANSYS"
"UVA","SOFT07","ArcGIS Suite"
"UVA",,"Dedoose"
"UVA","SOFT67","Eventbrite"
"UVA","SOFT28","Firefox"
"UVA",,"IDL"
"UVA","SOFT49","LabView"
"UVA","SOFT68","LastPass "
"UVA",,"Wolfram Mathematica"
"UVA","SOFT50","MATLAB"
"UVA",,"MetaAccess"
"UVA","SOFT69","Microsoft Defender for Endpoint for Mac"
"UVA",,"Microsoft Desktop Optimization Pack (MDOP)"
"UVA","SOFT23","Microsoft Office"
"UVA","SOFT70","Microsoft OneNote"
"UVA","SOFT24","Microsoft Project "
"UVA",,"Microsoft Software & Tools for Learning"
"UVA","SOFT71","Microsoft System Center Endpoint Protection"
"UVA","SOFT26","Microsoft Visio"
"UVA",,"Microsoft Windows "
"UVA","SOFT27","Minitab"
"UVA","SOFT72","Network Setup Tool"
"UVA","SOFT48","Java  "
"UVA",,"OriginPro"
"UVA","SOFT73","oXygenXML"
"UVA","SOFT74","Perceptive Content"
"UVA",,"Personal Digital Certificate"
"UVA",,"Qualtrics Research Suite"
"UVA",,"Read&Write"
"UVA","SOFT58","SAS"
"UVA",,"Secure Deletion Shredder"
"UVA","SOFT75","SecureCRT"
"UVA","SOFT76","SecureFX"
"UVA",,"Smartsheet"
"UVA","SOFT65","SolidWorks"
"UVA","SOFT21","SPSS"
"UVA","SOFT21","SPSS AMOS"
"UVA",,"Stata"
"UVA",,"StatTransfer "
"UVA",,"UVA Anywhere"
"UVA",,"UVA Certificates Bundle"
"UVA","SOFT77","Visual Studio "
"UVA","SOFT78","VMWare View (Hive)"
"UVA","SOFT45","VPN Client"
"UVA","SOFT10","Zoom "
"WM","SOFT13","Adobe Acrobat Reader DC"
"WM",,"Advance"
"WM","SOFT66","Alertus Desktop Notification"
"WM","SOFT62","AutoDesk"
"WM","SOFT79","Banner Admin Production"
"WM",,"Box"
"WM",,"Box Drive"
"WM",,"Chem BioDraw Ultra"
"WM","SOFT80","Cylance Protect"
"WM","SOFT63","DUO Mobile"
"WM",,"Eduroam"
"WM","SOFT45","Global Protect for MacOs"
"WM","SOFT45","Global Protect (VPN) for Windows"
"WM","SOFT19","Google Chrome"
"WM","SOFT11","LinkedIn Learning"
"WM","SOFT82","Maple"
"WM","SOFT50","Matlab"
"WM","SOFT23","Microsoft Office 365"
"WM","SOFT25","Microsoft Teams"
"WM","SOFT27","Minitab for Windows"
"WM","SOFT27","Minitab for Mac"
"WM","SOFT83","Mitel Connect for Mac"
"WM","SOFT83","Mitel Connect for Windows"
"WM","SOFT28","Mozilla Firefox Mac"
"WM","SOFT28","Mozilla Firefox Windows"
"WM",,"Panopto"
"WM",,"PCModel"
"WM","SOFT58","SAS"
"WM","SOFT21","SPSS"
"WM",,"Stata"
"WM",,"Wolfram Mathematica"
"WM","SOFT10","Zoom "
