"CVE_ID","CVSS_BASE_SCORE","BASE_RANK","REL_SCORE","REL_RANK"
"CVE-2020-16014","9.6","1","1","15"
"CVE-2020-16016","9.6","2","1","16"
"CVE-2020-16017","9.6","3","2","10"
"CVE-2020-16018","9.6","4","1","17"
"CVE-2020-16024","9.6","5","1","23"
"CVE-2020-16025","9.6","6","1","24"
"CVE-2020-16045","9.6","7","1","39"
"CVE-2021-21106","9.6","8","1","51"
"CVE-2021-21107","9.6","9","1","52"
"CVE-2021-21108","9.6","10","1","53"
"CVE-2021-21109","9.6","11","1","54"
"CVE-2021-21110","9.6","12","1","55"
"CVE-2021-21111","9.6","13","1","56"
"CVE-2021-21115","9.6","14","1","60"
"CVE-2020-16013","8.8","15","2","9"
"CVE-2020-16015","8.8","16","2.5","1"
"CVE-2020-16019","8.8","17","1","18"
"CVE-2020-16020","8.8","18","1","19"
"CVE-2020-16022","8.8","19","1","21"
"CVE-2020-16023","8.8","20","1","22"
"CVE-2020-16026","8.8","21","1","25"
"CVE-2020-16028","8.8","22","1","26"
"CVE-2020-16029","8.8","23","2.5","3"
"CVE-2020-16035","8.8","24","1","31"
"CVE-2020-16037","8.8","25","1","33"
"CVE-2020-16038","8.8","26","1","34"
"CVE-2020-16039","8.8","27","1","35"
"CVE-2020-16043","8.8","28","1","38"
"CVE-2020-6572","8.8","29","2","11"
"CVE-2021-1636","8.8","30","1","41"
"CVE-2021-1707","8.8","31","1","42"
"CVE-2021-21112","8.8","32","1","57"
"CVE-2021-21113","8.8","33","1","58"
"CVE-2021-21114","8.8","34","1","59"
"CVE-2021-21116","8.8","35","1","61"
"CVE-2021-21006","8.6","36","1","50"
"CVE-2020-16041","8.1","37","1","36"
"CVE-2021-1712","8","38","1","44"
"CVE-2021-1719","8","39","1","49"
"CVE-2020-26664","7.8","40","1","40"
"CVE-2021-1711","7.8","41","1","43"
"CVE-2021-1713","7.8","42","1","45"
"CVE-2021-1714","7.8","43","1","46"
"CVE-2021-1715","7.8","44","1","47"
"CVE-2021-1716","7.8","45","1","48"
"CVE-2020-16021","7.5","46","1","20"
"CVE-2021-21007","7","47","2","12"
"CVE-2021-21008","7","48","2","13"
"CVE-2020-16027","6.5","49","2.5","2"
"CVE-2020-16036","6.5","50","1","32"
"CVE-2020-16040","6.5","51","2.5","5"
"CVE-2020-16042","6.5","52","1","37"
"CVE-2020-16030","6.1","53","2.5","4"
"CVE-2020-16046","6.1","54","2.5","6"
"CVE-2021-1641","5.4","55","2.5","7"
"CVE-2021-1717","5.4","56","2.5","8"
"CVE-2020-16012","4.3","57","1","14"
"CVE-2020-16031","4.3","58","1","27"
"CVE-2020-16032","4.3","59","1","28"
"CVE-2020-16033","4.3","60","1","29"
"CVE-2020-16034","4.3","61","1","30"
